Day,Pair,Flower,Treatment,File Name,Block,scale bar (pixel),scale bar (mm),flower width (mm),Flower width (pixels),Genus,sex,length(pixels),length(mm),land,start,stop,duration(s),nectar,pollen,attack,Notes,File Location
3,1,7,control,MVI_4725,a,70,12.7,33.93,187,Halictus,male,55,9.98,no,4266,4279,0.43,no,no,no,,
3,1,7,control,MVI_4725,a,70,12.7,33.93,187,Melissodes,female,73,13.24,yes,5042,5590,18.27,yes,yes,no,,
3,1,7,control,MVI_4725,a,70,12.7,33.93,187,Bombus,female,87,15.78,yes,5412,5695,9.43,yes,yes,no,"bombus contacted melissodes, melissodes left",
3,1,7,control,MVI_4725,a,70,12.7,33.93,187,Melissodes,female,73,13.24,yes,5968,5995,0.9,yes,no,no,,
3,1,7,control,MVI_4725,a,70,12.7,33.93,187,Andrena,male,86,15.6,no,6708,6723,0.5,no,no,no,,
3,1,7,control,MVI_4725,a,70,12.7,33.93,187,Andrena,male,80,14.51,yes,11703,11715,0.4,yes,no,no,,
3,1,7,control,MVI_4725,a,70,12.7,33.93,187,Halictus,female,55,9.98,no,15285,15294,0.3,no,no,no,,
3,1,7,control,MVI_4725,a,70,12.7,33.93,187,Andrena,female,76,13.79,yes,17773,18581,26.93,yes,yes,no,,
3,1,7,control,MVI_4725,a,70,12.7,33.93,187,Andrena,male,75,13.61,no,18214,18224,0.33,no,no,no,might be a panurgine,
3,1,14,treated,MVI_6784,a,90,12.7,32.6,231,Bombus,female,126,17.78,yes,1396935,1397825,29.67,yes,yes,no,,
3,1,14,treated,MVI_6784,a,90,12.7,32.6,231,Melissodes,female,120,16.93,yes,1402818,1402842,0.8,yes,no,no,,
3,1,14,treated,MVI_6784,a,90,12.7,32.6,231,Bombus,female,140,19.76,yes,1405928,1406294,12.2,yes,no,no,,
3,1,14,treated,MVI_6784,a,90,12.7,32.6,231,Melissodes,female,96,13.55,yes,1407245,1407270,0.83,yes,no,no,,
3,1,3,control,MVI_6785,b,111,12.7,26.09,228,no bees,,,,,,,0,no,no,no,,
3,1,2,treated,MVI_4726,b,100,12.7,28.19,222,Bombus,male,111,14.1,yes,15559,15682,4.1,yes,no,no,older flower - no pollen and female flowers appear to be swelling ,
3,2,11,control,MVI_4727,a,113,12.7,24.28,216,no bees,,,,,,,0,no,no,no,"flower with pollen, ray flowers fully spread, shaded",
3,2,13,treated,MVI_6786,a,81,12.7,23.36,149,Andrena,female,76,11.92,yes,1445679,1445931,8.4,yes,yes,no,"flower with pollen, ray flowers fully spread, shaded",
3,2,12,treated,MVI_6787,b,89,12.7,24.83,174,Melissodes,female,81,11.56,yes,1464849,1465178,10.97,yes,yes,no,,
3,2,7,control,MVI_4728,b,94,12.7,26.21,194,no bees,,,,,,,0,no,no,no,great shot of flower and ambush bug,
3,3,15,treated,MVI_4731,a,97,12.7,25.27,193,Melissodes,female,94,12.31,yes,2590,2596,0.2,no,no,no,"flower with pollen, ray flowers fully spread, shaded",
3,3,15,treated,MVI_4731,a,97,12.7,25.27,193,Melissodes,male,90,11.78,no,16822,16832,0.33,no,no,no,,
3,3,18,control,MVI_6788,a,96,12.7,27.12,205,Andrena,male,84,11.11,no,1472315,1472321,0.2,no,no,no,,
3,3,18,control,MVI_6788,a,96,12.7,27.12,205,Melissodes,female,117,15.48,no,1479449,1479454,0.17,no,no,no,andrena?,
3,3,18,control,MVI_6788,a,96,12.7,27.12,205,Melissodes,male,85,11.24,no,1481411,1481419,0.27,no,no,no,,
3,3,11,treated,MVI_4732,b,87,12.7,32.41,222,Melissodes,male,68,9.93,no,4881,4887,0.2,no,no,no,,
3,3,11,treated,MVI_4732,b,87,12.7,32.41,222,Andrena,male,100,14.6,no,6171,6184,0.43,no,no,no,,
3,3,11,treated,MVI_4732,b,87,12.7,32.41,222,Melissodes,male,90,13.14,no,10553,10557,0.13,no,no,no,andrena?,
3,3,11,treated,MVI_4732,b,87,12.7,32.41,222,Andrena,male,94,13.72,no,15198,15206,0.27,no,no,no,,
3,3,11,treated,MVI_4732,b,87,12.7,32.41,222,Melissodes,male,92,13.43,no,15281,15293,0.4,no,no,no,andrena?,
3,3,11,treated,MVI_4732,b,87,12.7,32.41,222,Andrena,male,112,16.35,no,16932,16936,0.13,no,no,no,,
3,3,10,control,MVI_6789,b,88,12.7,26.99,187,Melissodes,male,81,11.69,no,1496109,1496117,0.27,no,no,no,,
3,3,10,control,MVI_6789,b,88,12.7,26.99,187,Melissodes,male,99,14.29,no,1496696,1496705,0.3,no,no,no,,
3,3,10,control,MVI_6789,b,88,12.7,26.99,187,Andrena,male,84,12.12,no,1499810,1499823,0.43,no,no,no,,
3,3,10,control,MVI_6789,b,88,12.7,26.99,187,Agapostemon,female,43,6.21,no,1499915,1499925,0.33,no,no,no,,
3,4,16,treated,MVI_6790,a,77,12.7,34.8,211,Melissodes,male,81,13.36,no,1508030,1508043,0.43,no,no,no,,
