Wavelength,F1DA,F2DA,F3DA,F4DA,F5DA,F6DA,F7DA,F8DA,F1DT,F2DT,F3DT,F4DT,F5DT,F6DT,F7DT,F8DT,F1VA,F2VA,F3VA,F4VA,F5VA,F6VA,F7VA,F8VA,F1VT,F2VT,F3VT,F4VT,F5VT,F6VT,F7VT,F8VT,S1D,S2D,S3D,S4D,S5D,S6D,S7D,S8D,S9D,S10D,S1R,S2R,S3R,S4R,S5R,S6R,S7R,S8R,S9R,S10R,BG,DA,DT,VA,VT,seDA,seDT,seVA,seVT,mDA,mDT,mVA,mVT,semDA,semDT,semVA,semVT,SDA,seSDA,SHA,seSHA,SRA,seSRA
191.243,-8.63,105.88,23.11,513.85,191.11,133.55,-19.4,151.96,69,1.47,63.51,563.08,38.89,192.86,-72.24,159.8,10.51,17.65,58.38,243.08,-166.67,147.9,20.4,144.12,96.15,50.37,11.89,-303.08,-77.78,11.04,-125.42,-5.88,202.08,-11.24,93.58,50.74,-462,75.82,-222.22,-288.3,147.67,54.7,188.89,54.22,444.95,36.71,438,109.89,-246.2,-18.71,58.14,51.77,-73.11,136.42875,127.04625,59.42125,-42.83875,60.4721529,68.94509197,43.40651841,44.52846415,133.7675,-85.955,128.2225,121.03,69.40702843,143.7908109,96.46051405,65.65675566,-35.917,76.00108998,-39.3687,81.33926025,111.766,73.02736247
191.619,-6.16,46.44,2.81,181.92,-131.46,354.88,-14.04,85.23,56.69,-2.37,48.31,238.87,-45.77,147.26,-9.25,134.13,1.66,2.71,46.21,180.11,94.37,502.95,8.34,100.07,258.77,5.17,3.93,-56.16,109.39,-85.71,-129.73,22.85,126.32,-27.16,45.8,62.08,851.75,73.32,-265.27,-234.99,76.02,77.13,79.25,70.21,224.19,32.29,-185.09,52.89,-216.64,71.82,14.95,76.8,106.33,64.9525,70.98375,117.0525,16.06375,52.1381414,33.84823898,59.29989366,43.25135245,-8.8075,120.77375,-29.60125,51.155,63.95590838,63.00756128,89.96534034,66.17607563,78.5,107.3153394,33.5909,50.37209907,22.067,46.08456698
191.995,-11.02,58.44,-5.47,184.14,-37.97,186.1,-90.31,66.76,31.12,4.76,43.15,197.12,41.19,126.76,-52.78,130,-38.09,16.45,75.24,140.9,128.47,326.43,13.81,75.52,202.63,30.63,29.09,-15.68,109.49,-82.29,-189.07,36.38,82.83,-8.22,30.09,60.94,411.02,105.15,-191.6,-159.75,-32.84,76.92,111.3,49.91,173.16,31.5,178.81,101.39,-142.96,164.94,-52.66,80.72,-36,43.83375,65.165,92.34125,15.1475,35.55445471,28.40647348,39.63564839,41.63710222,-120.8425,436.9425,-54.095,36.1525,171.4067985,265.0395301,211.0949481,175.1871881,37.454,58.54001305,2.0675,54.54844008,69.611,36.62553145
192.371,-13.93,53,14.53,182.3,-107.12,126.86,-72.87,55.07,112.24,39.38,41.96,154.38,24.93,94.01,9.65,150.6,-75.52,31.77,94.93,136,228.77,228.33,46.08,78.47,82.91,50.53,51.45,-37.7,201.42,-95.48,-176.49,8.56,92.06,6.57,-4.49,74.57,278,80.17,-432.13,-379.78,18.28,84.41,127.96,50.41,151.34,44.65,177.27,72.64,-445.15,269.25,-193.79,76.75,-36,29.73,78.39375,96.10375,10.65,34.14448512,20.18249559,36.12578995,40.86056473,102.8525,751.8525,-49.18875,636.13875,68.15165808,755.2734451,222.783175,485.7369924,-18.234,77.54155576,-19.9829,86.49555237,33.133,72.99494132
192.746,-39.01,47.55,-55.02,110.21,-100.38,-2093.1,367.77,12.48,112.4,38.17,-7.28,110.75,-88.4,89.51,49.1,195.07,-69.92,10.23,119.29,104.8,253.61,-2751.72,-50.9,45.36,117.47,46.86,64.17,41.45,290.11,3965.52,589.51,18.38,42.03,29.09,-107.69,57.78,426.42,36.82,1791.55,1300,46.92,76.33,331.87,38.35,216.04,52.77,402.85,93.47,1947.89,-84.51,126.81,74.13,12.76,-218.6875,62.415,-292.40625,641.68375,272.6495895,30.33560114,353.2280883,479.6788215,-25.62125,-398.11625,-220.1575,-360.035,88.73600172,385.2199796,297.849209,408.0168735,369.925,227.9123931,21.4046,80.29562475,319.967,208.5430861
193.122,-279.3,106.77,677.72,93.71,-225.19,28.27,80.61,-8.13,30.88,63.69,448.91,97.67,-154.44,89.26,-5.85,138.35,-227.02,24.62,36.96,98.23,108.89,35.42,-0.51,-7.87,-40.53,36.85,-258.7,67.07,262.96,151.16,121.8,19.33,103.92,34.87,-3.58,40.37,182.79,45.57,151.82,-32.97,70.97,104.13,330.12,30.95,111,43.31,161.01,65.24,54.78,34.99,140.38,68.54,14.51,59.3075,88.55875,8.59,44.9925,102.4197462,60.40375995,36.77705515,54.35272926,-6.335,-87.18,7.39125,-16.8,66.87632218,48.28127761,26.50058837,82.47471892,69.789,23.70470285,20.1392,33.46310963,104.032,32.21395595
193.498,-13.44,107.73,143.38,60.87,2.45,85.55,39.76,-9.23,18.6,85.64,119.12,117.06,14.53,0.73,-27.9,100.41,175.45,-17.68,-30,112.24,81.65,75.83,-16.29,-26.66,-248.54,37.43,-161.76,95.59,103.67,70.74,61.43,25.9,71.23,51.04,-197.04,-1.89,247.71,113.48,100.13,-99.74,100.99,186.95,203.35,33.65,-30.37,-42.42,414.89,0,-19.74,41.81,84.43,113.54,6.67,52.13375,53.52375,44.3175,-1.9425,20.39642834,20.58375095,27.47525093,46.0284786,38.50125,0.1425,2.51,46.26625,20.25269968,30.85367006,41.64590818,24.91246425,57.286,46.10549374,-82.8162,118.9911644,79.914,49.38989953
193.874,35.03,809.09,-1404.17,134.84,-36.52,89.68,7.45,-72.47,55.79,-354.55,1175,307.39,12.89,25.32,-136.01,47.94,105.24,1672.73,-1850,212.07,6.33,111.7,-113.75,-55.57,-290,802.27,-10183.33,208.3,42.86,68.42,-56.45,-5.15,96.48,68.05,35.19,5.57,-70.32,395.73,52.27,-129.9,77.79,110.19,318.52,41.15,210.68,132.77,269.25,547.01,-48.84,-38.54,157.22,138.26,-26.32,-54.63375,141.72125,11.09375,-1176.635,216.981475,161.7348334,335.5202323,1291.492132,67.585,30.09625,-9.84,120.63375,52.71402091,67.59189007,104.879428,67.71427173,64.105,49.08332796,-15.5306,73.98121546,172.748,63.04359922
194.25,39.4,-580,512.5,1964.1,-622.22,7146.15,-94.13,341.98,60.65,-260,483,4692.31,303.97,38.37,-136.43,320.59,87,-3680,486,117.95,106.35,10723.08,-204.54,328.07,-186.65,-2245,1438,2392.31,68.25,3430.77,-106.2,244.39,-200.86,102.69,-420.22,84.54,-6783.33,-2.49,-22.71,-104.84,-50.99,54.55,-1593.1,27.12,369.66,152.69,1850,-37.15,-58.15,2.1,177.23,-6.44,12.62,1088.4725,687.8075,995.48875,629.48375,911.8324043,578.6833642,1470.042006,620.2203208,10.32375,26.435,37.88375,13.38375,27.6681522,58.65440788,82.04062952,40.62638973,-734.366,753.4397285,358.26,280.3718145,88.396,290.5752252
194.625,54.31,74.83,-160.65,3747.83,32.72,-23500,-154.53,119,-10.25,-54.97,-116.98,8721.74,26.28,92.34,-322.3,144.22,52.52,37.09,32.72,4234.78,123.72,-37933.33,-263.45,148.07,588.3,164.4,-125.31,2456.52,161.35,-14333.33,-234.68,129.07,3175,680.6,229.83,45.13,-95.99,94.05,-10.79,-130.44,-137.77,45.31,5800,326.87,2.37,91.53,-90.11,48.91,-14.07,207.32,144.65,-24.24,26.57,-2473.31125,1060.01,-4195.985,-1399.21,3039.712011,1095.693552,4847.923722,1872.274805,48.815,33.415,56.40625,76.18875,47.80956591,67.17478805,115.4952615,37.88795443,389.493,356.2512379,290.6405,221.8307981,649.323,641.3335339
