Day,Pair,Flower,Treatment,File Name,Block,scale bar (pixel),scale bar (mm),flower width (mm),Flower width (pixels),Genus,gender,length(pixels),length(mm),land,start,stop,duration(s),nectar,pollen,attack,Notes,File Location
3,1,14,treated,MVI_9735,a,94,12.7,22.43,166,no bees,,,0.00,,,,0.00,,,,"petal at 3 oclock with some herbivory, intact otherwise, anthers apparent",
3,1,7,control,DSC_0002,a,118,12.7,23.36,217,no bees,,,0.00,,,,0.00,,,no,"petals intact, anthers apparent",
3,1,2,treated,MVI_9737,b,91,12.7,21.49,154,beetle left,,,0.00,,119229,130860,387.70,,,,"petals out of plane with the disk, anthers not apparent",
3,1,3,control,DSC_0003,b,99,12.7,22.83,178,beetle left on treated,,,0.00,,6633,18074,381.37,,,no,,
3,2,13,treated,MVI_9738,a,89,12.7,26.83,188,melissodes,female,94,13.41,yes,140595,140607,0.40,yes,no,no,"petals intact, anthers apparent",
3,2,11,control,DSC_0004,a,112,12.7,20.75,183,no bees,,,0.00,,,,0.00,,,no,"petals intact, anthers apparent",
3,2,12,treated,DSC_0006,b,111,12.7,22.20,194,beetle left,,,0.00,,11251,17985,224.47,,,,"petals  missing at 5 o clcok, top petals bent over flower, anthers apparent",
3,2,7,control,MVI_9739,b,110,12.7,21.47,186,bombus,female,115,13.28,yes,149360,150710,45.00,yes,no,no,"petals intact, not anthers apparent",
3,2,7,control,MVI_9739,b,110,12.7,21.47,186,bombus,female,112,12.93,no,152157,152184,0.90,no,no,no,"""6:15",
3,2,7,control,MVI_9739,b,110,12.7,21.47,186,Andrena,female,111,12.82,no,154496,154505,0.30,no,no,no,,
3,2,7,control,MVI_9739,b,110,12.7,21.47,186,Andrena,female,108,12.47,no,155029,155048,0.63,no,no,no,,
3,2,7,control,MVI_9739,b,110,12.7,21.47,186,Andrena,female,106,12.24,no,156877,156885,0.27,no,no,no,,
3,2,7,control,MVI_9739,b,110,12.7,21.47,186,beetle left on treated,,,0.00,,160613,167356,224.77,,,no,,
3,3,15,treated,MVI_9741,a,94,12.7,21.35,158,Andrena,female,93,12.56,yes,172678,172745,2.23,yes,yes,no,"petals intact, anthers apparent",
3,3,15,treated,MVI_9741,a,94,12.7,21.35,158,beetle left,,,0.00,,174276,186551,409.17,,,,"""3:10",
3,3,18,control,DSC_0007,a,98,12.7,25.79,199,no bees,,,0.00,,5714,17983,408.97,,,no,"petals intact, anthers apparent",
3,3,11,treated,DSC_0009,b,98,12.7,21.90,169,bombus,female,147,19.05,no,12576,12599,0.77,no,no,,,
3,3,10,control,MVI_9742,b,107,12.7,23.62,199,melissodes,female,141,16.74,yes,188198,188219,0.70,yes,no,no,"petals intact, anthers apparent",
3,4,16,treated,DSC_0011,a,122,12.7,23.73,228,beetle left,,,0.00,,8370,14447,202.57,,,,"petals at 1 and 5 oclock with herb damage, anthers apparent",
3,4,2,control,MVI_9744,a,125,12.7,24.99,246,beetle left on treated,,,0.00,,214311,220363,201.73,,,no,"petals intact, anthers apparent",
3,4,9,treated,MVI_9745,b,114,12.7,21.84,196,Andrena,female,143,15.93,,224257,224301,1.47,yes,yes,no,"petals intact, anthers apparent",
3,4,20,control,DSC_0012,b,92,12.7,23.61,171,no bees,,,0.00,,,,0.00,,,no,"petals slightly curled but intact, anthers not apparent",
3,5,12,treated,DSC_0013,a,120,12.7,21.27,201,beetle left,,,0.00,,1614,10532,297.27,,,,"petals intact, anthers apparent",
3,5,5,control,MVI_9746,a,96,12.7,24.34,184,lithurgus,female,119,15.74,yes,250204,250512,10.27,yes,yes,no,"petals intact, anthers apparent",0:54-5:51
3,5,18,treated,DSC_0014,b,103,12.7,23.18,188,apis,female,115,14.18,yes,2220,2266,1.53,yes,no,no,"petals intact, not anthers apparent",
3,5,18,treated,DSC_0014,b,103,12.7,23.18,188,Andrena,female,114,14.06,no,12276,12294,0.60,no,no,,"""7:45",
3,5,4,control,MVI_9747,b,95,12.7,24.60,184,Andrena,female,134,17.91,yes,261821,261919,3.27,yes,yes,no,"petals intact,  anthers apparent",
3,5,4,control,MVI_9747,b,95,12.7,24.60,184,Andrena,female,141,18.85,yes,266861,267126,8.83,yes,yes,no,,
3,5,4,control,MVI_9747,b,95,12.7,24.60,184,melissodes,male,105,14.04,no,268846,268851,0.17,no,no,no,,
3,5,4,control,MVI_9747,b,95,12.7,24.60,184,beetle left on treated,,,0.00,,268898,272921,134.10,,,no,,
3,6,20,treated,DSC_0015,a,147,12.7,21.17,245,apis,female,190,16.41,yes,2174,2231,1.90,yes,no,yes,"petals intact,  anthers apparent",
3,6,20,treated,DSC_0015,a,147,12.7,21.17,245,Andrena,female,159,13.74,no,6097,6101,0.13,no,no,,,
3,6,20,treated,DSC_0015,a,147,12.7,21.17,245,beetle left,,,0.00,,10867,17996,237.63,,,,"""6:02",
