Density,Sum_beetles,Presence,flowers_plant
0,0,0,8
1,0,0,5
10,0,0,4
8,0,0,5
21,0,0,4
1,13,1,7
68,1,1,9
13,0,0,2
0,6,1,4
4,0,0,5
7,1,1,1
1,3,1,3
8,2,1,4
7,7,1,6
1,2,1,3
8,8,1,5
0,0,0,0
7,0,0,6
0,0,0,4
29,0,0,5
38,0,0,2
4,0,0,2
43,0,0,7
5,0,0,5
4,0,0,0
196,0,0,5
167,0,0,10
0,0,0,1
5,0,0,2
,0,0,4
,0,0,4
,0,0,1
,0,0,1
,0,0,3
,0,0,3
,0,0,6
,0,0,2
,0,0,10
,1,1,10
,0,0,2
,1,1,4
,0,0,1
,0,0,3
,0,0,7
,0,0,5
,0,0,6
,0,0,4
,0,0,2
,4,1,7
,4,1,10
,11,1,9
,9,1,10
,7,1,10
,5,1,10
,6,1,10
,8,1,9
,6,1,10
,3,1,6
,1,1,1
,2,1,1
,1,1,1
,0,0,1
,0,0,1
,2,1,4
,5,1,6
,0,0,1
,6,1,8
,5,1,3
,2,1,1
,0,0,1
,0,0,1
,0,0,1
,4,1,2
,2,1,2
,7,1,5
,4,1,3
,17,1,10
,0,0,4
,0,0,3
,1,1,6
,0,0,6
,1,1,2
,4,1,3
,1,1,5
,0,0,1
,0,0,1
,0,0,1
,0,0,0
,0,0,1
,2,1,3
,0,0,1
,0,0,1
,0,0,1
